d^1_(sigma,mu)
-77.604408765937081348256571	(21,11)
-77.552267431924897751181219	(21,12)
-77.488876568888798150763819	(21,13)
-77.413896601283550822297692	(21,14)
-77.327380484062364507814097	(21,15)
-77.229809628242848366605878	(21,16)
-77.122114875192150020651868	(21,17)
-77.005680583447861985810091	(21,18)
-76.882330177544157821953605	(21,19)
-76.754292026662278381959165	(21,20)
-76.624145307751417141212194	(21,21)
-76.494746544789258914315653	(21,22)
-76.369138729348647437286523	(21,23)
-76.25044619996153547260036	(21,24)
-76.141759648367847900290065	(21,25)
-76.04601659097229000427962	(21,26)
-75.965883279548384845553832	(21,27)
-75.903644252299088567622106	(21,28)
-75.86110551707429582313392	(21,29)
-75.83951672921444170065811	(21,30)
-68.437768237176201293387717	(22,1)
-68.437682994409215927061615	(22,2)
-68.437108168758137542114103	(22,3)
-68.435257186599832469331487	(22,4)
-68.431004351331798892975335	(22,5)
-68.422946826994418706059121	(22,6)
-68.409482477032277600627661	(22,7)
-68.388899844962205156844192	(22,8)
-68.359476089948417946021154	(22,9)
-68.319578443610762080637492	(22,10)
-68.267764717398575182161429	(22,11)
-68.202878527632667637375126	(22,12)
-68.124135174810621104734586	(22,13)
-68.031194475251591645028222	(22,14)
-67.924217270735872052021845	(22,15)
-67.803902829798503014078139	(22,16)
-67.671504917028112932259567	(22,17)
-67.528824970726503103815571	(22,18)
-67.378181620463294582783614	(22,19)
-67.222356704641087152035062	(22,20)
-67.064518996848611980539988	(22,21)
-66.908127968700513703932026	(22,22)
-66.756821027630428278196665	(22,23)
-66.61428867560691135204207	(22,24)
-66.484142843721591308950997	(22,25)
-66.369784189295109772898151	(22,26)
-66.274274346734094564902928	(22,27)
-66.200218985488452849101868	(22,28)
-66.149667065345655308319129	(22,29)
-66.12403093319987560310124	(22,30)
-60.026207751958938345916885	(23,1)
-60.026108529377795945146689	(23,2)
-60.02543943638738705833049	(23,3)
-60.023284954412026289752363	(23,4)
-60.018335073255318539216439	(23,5)
-60.008957971998148472333442	(23,6)
-59.993291674413168447039118	(23,7)
-59.969350468294179633846428	(23,8)
-59.935141178291795841090264	(23,9)
-59.88878389736299488918535	(23,10)
-59.828631534164218745545255	(23,11)
-59.753382532493139652945653	(23,12)
-59.662181362971964146244248	(23,13)
-59.554701866068855309703226	(23,14)
-59.431209221874874448226452	(23,15)
-59.292597213134990922584625	(23,16)
-59.140398505887322526888156	(23,17)
-58.976766861397865122658818	(23,18)
-58.80443146829639463235335	(23,19)
-58.626624886844601043122054	(23,20)
-58.446987358116847110504694	(23,21)
-58.269451372274761567428521	(23,22)
-58.098111336005972785455232	(23,23)
-57.937083865401225224532435	(23,24)
-57.790364614888985422085239	(23,25)
-57.661687621835442341409041	(23,26)
-57.554392916496593449255134	(23,27)
-57.471307659980679372233139	(23,28)
-57.414645386662907440555403	(23,29)
-57.38592710464044820707563	(23,30)
-52.522651994203633664952074	(24,1)
-52.522541501583045570424107	(24,2)
-52.521796414447337129855205	(24,3)
-52.519397275057706837242993	(24,4)
-52.51388555260769422774574	(24,5)
-52.50344506565116983492067	(24,6)
-52.486005008435553953253043	(24,7)
-52.459359993531984349182919	(24,8)
-52.421301607410144490735236	(24,9)
-52.369755254654769362098568	(24,10)
-52.302915602757193584987177	(24,11)
-52.219373790743458360522375	(24,12)
-52.118229775373527784457965	(24,13)
-51.999183779578204336217403	(24,14)
-51.862601770900489044350722	(24,15)
-51.709551191462851727259449	(24,16)
-51.541804711071508362313516	(24,17)
-51.361811479121359864628469	(24,18)
-51.172637087442636102787651	(24,19)
-50.977875096682889662562526	(24,20)
-50.781534402131112110460997	(24,21)
-50.587907821571455777597122	(24,22)
-50.401428011957143926246409	(24,23)
-50.226517138774234179185012	(24,24)
-50.067436649970711319464563	(24,25)
-49.9281431009842028375913	(24,26)
-49.812155321413374797598766	(24,27)
-49.72243740255097148404978	(24,28)
-49.66130111088325642057884	(24,29)
-49.630330471957748730279234	(24,30)
-45.909261050349429966858168	(25,1)
-45.90914156105271805998139	(25,2)
-45.908335810058898281393869	(25,3)
-45.905741379127265598573989	(25,4)
-45.899781245752515200966716	(25,5)
-45.888492307057460585125698	(25,6)
-45.86963772647233610278192	(25,7)
-45.840838239369680028532838	(25,8)
-45.799716430025193373322958	(25,9)
-45.744047035244776736062722	(25,10)
-45.671905645298573327776521	(25,11)
-45.58180786959160630977326	(25,12)
-45.472831205470970136223241	(25,13)
-45.344712549171294978470694	(25,14)
-45.197915519178961697117587	(25,15)
-45.033663461496564653346532	(25,16)
-44.853936048151983975305235	(25,17)
-44.661429589881700198054451	(25,18)
-44.459483359295334946106754	(25,19)
-44.251976161646971907877292	(25,20)
-44.043198926831226414782888	(25,21)
-43.837710113000304579322507	(25,22)
-43.640181162362983319716543	(25,23)
-43.455239157012264418660646	(25,24)
-43.287313271933456003605459	(25,25)
-43.140490741325728169168674	(25,26)
-43.018386990267276848027625	(25,27)
-42.924033479961173671658151	(25,28)
-42.859785791043256299541155	(25,29)
-42.82725360809521001387574	(25,30)
-40.1389572238467218514897326	(26,1)
-40.1388305985910015580348818	(26,2)
-40.1379767313894606595773339	(26,3)
-40.1352274144815805150008574	(26,4)
-40.128911713227790127067854	(26,5)
-40.1169502513723646868565135	(26,6)
-40.0969752040574484601373021	(26,7)
-40.0664709410949652854600745	(26,8)
-40.0229289364961225096066692	(26,9)
-39.9640093660578849272298151	(26,10)
-39.8877009038798482483826572	(26,11)
-39.7924697647129211029524357	(26,12)
-39.6773891667173301211854905	(26,13)
-39.5422412003012224297399179	(26,14)
-39.3875845934574132246639785	(26,15)
-39.2147839754300148067488917	(26,16)
-39.0259987771199708690954327	(26,17)
-38.8241326148355784894743687	(26,18)
-38.6127465969113200571168067	(26,19)
-38.3959421970021319160004761	(26,20)
-38.1782209384885369096551443	(26,21)
-37.9643290075604991684016721	(26,22)
-37.7590950398568226050022593	(26,23)
-37.5672687882955377058531375	(26,24)
-37.3933673358337337128243321	(26,25)
-37.2415341674755951676288774	(26,26)
-37.1154149694141770395989295	(26,27)
-37.018052664283299756500794	(26,28)
-36.951803058413269837103804	(26,29)
-36.918271650283290382158293	(26,30)
-35.1443478025356421622225401	(27,1)
-35.1442155385565019555233421	(27,2)
-35.1433236517043536001542302	(27,3)
-35.1404519617536050356113186	(27,4)
-35.1338554018982083755163035	(27,5)
-35.121362990381261691215126	(27,6)
-35.1005041292147936001471392	(27,7)
-35.0686570454853667272744591	(27,8)
-35.0232126643558064338304021	(27,9)
-34.9617457687449384466954444	(27,10)
-34.8821841575733096486731537	(27,11)
-34.782965884065069673566551	(27,12)
-34.6631747380742768512837232	(27,13)
-34.5226450619582575554706626	(27,14)
-34.3620287770506011583268184	(27,15)
-34.182820032409541749264693	(27,16)
-33.9873359253631407965273285	(27,17)
-33.7786549455939995052881368	(27,18)
-33.5605177844560136060922803	(27,19)
-33.3371975818627570640698918	(27,20)
-33.1133482985212814022945879	(27,21)
-32.8938405778307185793181355	(27,22)
-32.6835942202136139690511866	(27,23)
-32.4874153812483697146038474	(27,24)
-32.309845060250759705958537	(27,25)
