muu13_(sigma,mu)
-5.1455293816669708053455133	(20,15)
-5.1163814014238857218129252	(20,16)
-5.0844760595219708774684089	(20,17)
-5.0502892439148301513581142	(20,18)
-5.0144116258186850547141343	(20,19)
-4.9775306322002264409782534	(20,20)
-4.9404080934657623995865423	(20,21)
-4.90385473119103600560859	(20,22)
-4.8687027421862396629603237	(20,23)
-4.8357777349339942015282156	(20,24)
-4.8058711951261195491122928	(20,25)
-4.7797145186218712394763607	(20,26)
-4.7579554763045363166971257	(20,27)
-4.7411377895902574627874549	(20,28)
-4.7296843179245989845322533	(20,29)
-4.723884204890240733526345	(20,30)
-4.7248417416778817174193798	(21,1)
-4.7248212407901823983580999	(21,2)
-4.7246829974148914927037901	(21,3)
-4.7242378694073570836142393	(21,4)
-4.723215289872808951267135	(21,5)
-4.7212784628900731898163237	(21,6)
-4.7180436539389609159012129	(21,7)
-4.7131027421082353437672245	(21,8)
-4.7060480062023242787658972	(21,9)
-4.6964979498146131900487514	(21,10)
-4.6841228500194144147492244	(21,11)
-4.6686686600313374354828058	(21,12)
-4.649977924615153353087561	(21,13)
-4.6280064882268516273944029	(21,14)
-4.6028349901525696604026336	(21,15)
-4.5746744372169378539470392	(21,16)
-4.5438655007393814499407349	(21,17)
-4.5108715692988094259562867	(21,18)
-4.4762659667935572036343382	(21,19)
-4.4407140809577559034056853	(21,20)
-4.404951411221346351638598	(21,21)
-4.3697587166653027202565367	(21,22)
-4.3359355171102209607995601	(21,23)
-4.3042731778417831525739736	(21,24)
-4.2755287065836590058744309	(21,25)
-4.250400232939660122719862	(21,26)
-4.2295049517991969899697728	(21,27)
-4.2133601184678643616770039	(21,28)
-4.2023675055941189685914392	(21,29)
-4.196801584683640899216162	(21,30)
-4.1564597013152166802741145	(22,1)
-4.1564403149557866467878132	(22,2)
-4.1563095873480973790160658	(22,3)
-4.1558886614297595381685782	(22,4)
-4.1549216931819634572338839	(22,5)
-4.1530902451904462898142994	(22,6)
-4.1500315756541418228822786	(22,7)
-4.1453600401643281075543798	(22,8)
-4.1386906324678910745429277	(22,9)
-4.1296635234883657471658428	(22,10)
-4.1179683347330979479773795	(22,11)
-4.1033668236205593638536737	(22,12)
-4.0857126822026561688609062	(22,13)
-4.064967268348047444420307	(22,14)
-4.0412103005277321140945463	(22,15)
-4.0146448425803568533733414	(22,16)
-3.9855962600201712450953455	(22,17)
-3.9545052120620876814106261	(22,18)
-3.9219151162582578645960313	(22,19)
-3.8884548489646107030759373	(22,20)
-3.8548176946573871145227037	(22,21)
-3.8217377110400490575828836	(22,22)
